,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
28,6532.0,1772.0,183.0,1.0,0.0,25.0,3.0,4910.0,0.0,1.0,1.0,4998.0,0.0
29,3596.0,1609.0,20.0,0.0,1.0,11.0,0.0,152.0,1.0,1.0,1.0,2623.0,0.0
30,929.0,133.0,200.0,2.0,0.0,21.0,0.0,0.0,2.0,1.0,0.0,7048.0,1.0
31,5638.0,2007.0,142.0,0.0,1.0,18.0,7.0,799.0,0.0,0.0,1.0,7833.0,0.0
32,7364.0,2364.0,162.0,1.0,1.0,23.0,9.0,2380.0,1.0,0.0,0.0,4080.0,0.0
33,3733.0,1655.0,129.0,2.0,0.0,24.0,6.0,0.0,1.0,1.0,1.0,1684.0,0.0
34,6699.0,567.0,331.0,2.0,0.0,11.0,9.0,0.0,1.0,1.0,1.0,7131.0,0.0
35,9142.0,1587.0,84.0,0.0,0.0,27.0,0.0,4428.0,0.0,1.0,0.0,1373.0,1.0
36,8904.0,2775.0,99.0,2.0,1.0,13.0,3.0,5155.0,0.0,0.0,1.0,5712.0,0.0
37,6569.0,1594.0,413.0,2.0,1.0,15.0,7.0,467.0,0.0,0.0,1.0,4923.0,0.0
38,6070.0,105.0,459.0,0.0,1.0,18.0,7.0,0.0,0.0,1.0,1.0,1990.0,0.0
39,768.0,396.0,191.0,1.0,1.0,23.0,6.0,319.0,1.0,0.0,1.0,8914.0,0.0
40,2107.0,1231.0,81.0,2.0,1.0,22.0,4.0,0.0,0.0,1.0,0.0,3470.0,0.0
41,6910.0,564.0,74.0,0.0,0.0,33.0,8.0,3431.0,0.0,0.0,0.0,9080.0,1.0
42,4887.0,2067.0,165.0,0.0,0.0,43.0,2.0,2994.0,0.0,1.0,1.0,4724.0,0.0
43,7567.0,1508.0,443.0,0.0,0.0,31.0,2.0,4200.0,0.0,0.0,0.0,9709.0,1.0
44,4732.0,241.0,269.0,2.0,0.0,43.0,5.0,5677.0,0.0,1.0,1.0,7911.0,0.0
45,7554.0,2668.0,385.0,1.0,0.0,14.0,4.0,2324.0,1.0,1.0,1.0,6360.0,0.0
46,1432.0,1689.0,438.0,1.0,0.0,9.0,9.0,2537.0,0.0,1.0,1.0,5998.0,1.0
47,8226.0,2016.0,246.0,1.0,0.0,21.0,9.0,4674.0,0.0,1.0,1.0,5901.0,1.0
48,8016.0,2888.0,159.0,1.0,1.0,20.0,0.0,1831.0,0.0,0.0,1.0,4533.0,0.0
49,8239.0,347.0,385.0,1.0,0.0,19.0,2.0,1859.0,1.0,1.0,0.0,9694.0,0.0
50,2008.0,477.0,307.0,1.0,1.0,26.0,10.0,2904.0,1.0,1.0,0.0,9896.0,0.0
51,8088.0,2645.0,194.0,1.0,1.0,18.0,0.0,5202.0,1.0,0.0,0.0,4320.0,0.0
52,4714.0,1983.0,397.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,5873.0,0.0
53,5471.0,2115.0,264.0,1.0,1.0,23.0,0.0,3704.0,0.0,0.0,0.0,8199.0,1.0
54,146.0,2895.0,210.0,1.0,1.0,24.0,1.0,1472.0,0.0,1.0,0.0,1954.0,1.0
55,7792.0,2164.0,228.0,0.0,1.0,25.0,1.0,3668.0,0.0,1.0,1.0,5680.0,0.0
56,2554.0,2657.0,265.0,0.0,1.0,27.0,5.0,3911.0,0.0,1.0,0.0,4359.0,0.0
57,3246.0,812.0,334.0,1.0,1.0,1.0,0.0,448.0,0.0,0.0,0.0,2226.0,0.0
58,2286.0,2570.0,120.0,2.0,0.0,48.0,4.0,0.0,0.0,1.0,0.0,90.0,1.0
59,9561.0,2720.0,223.0,0.0,1.0,33.0,4.0,35.0,0.0,1.0,1.0,2278.0,0.0
60,3400.0,1252.0,351.0,1.0,1.0,17.0,0.0,4594.0,0.0,0.0,0.0,4218.0,0.0
61,8300.0,563.0,296.0,1.0,0.0,9.0,9.0,5523.0,1.0,0.0,0.0,6358.0,0.0
62,5460.0,1320.0,164.0,2.0,1.0,15.0,1.0,110.0,1.0,0.0,0.0,8952.0,0.0
63,7424.0,2177.0,293.0,2.0,1.0,38.0,8.0,533.0,0.0,1.0,1.0,4961.0,0.0
64,1057.0,1312.0,212.0,1.0,1.0,8.0,4.0,2306.0,0.0,1.0,1.0,4635.0,0.0
65,8937.0,1095.0,360.0,1.0,0.0,18.0,6.0,6058.0,1.0,1.0,1.0,1370.0,0.0
66,5212.0,338.0,190.0,1.0,0.0,16.0,1.0,1697.0,0.0,1.0,0.0,5543.0,0.0
67,3009.0,473.0,344.0,1.0,1.0,25.0,10.0,3484.0,1.0,1.0,1.0,9825.0,0.0
68,2892.0,1010.0,270.0,1.0,0.0,17.0,5.0,5443.0,1.0,0.0,1.0,5695.0,0.0
69,7581.0,2179.0,284.0,0.0,0.0,3.0,8.0,1462.0,0.0,1.0,0.0,895.0,0.0
70,5530.0,1438.0,347.0,1.0,1.0,40.0,2.0,4383.0,3.0,1.0,0.0,1408.0,1.0
71,2142.0,1754.0,422.0,0.0,1.0,11.0,6.0,0.0,0.0,1.0,0.0,1662.0,0.0
72,9872.0,2101.0,266.0,2.0,0.0,19.0,0.0,5895.0,0.0,0.0,1.0,2155.0,0.0
73,8548.0,150.0,213.0,1.0,0.0,7.0,5.0,5745.0,1.0,1.0,1.0,2884.0,0.0
74,8198.0,2754.0,128.0,0.0,1.0,18.0,9.0,0.0,1.0,0.0,1.0,7309.0,0.0
75,8625.0,428.0,344.0,0.0,0.0,3.0,1.0,6205.0,1.0,1.0,0.0,1100.0,0.0
76,1911.0,1237.0,273.0,0.0,1.0,37.0,8.0,0.0,1.0,1.0,1.0,6988.0,0.0
77,3834.0,2243.0,287.0,0.0,0.0,14.0,9.0,0.0,0.0,1.0,1.0,7446.0,0.0
78,359.0,380.0,366.0,2.0,1.0,15.0,5.0,487.0,0.0,0.0,1.0,9700.0,0.0
79,9502.0,2201.0,25.0,1.0,0.0,23.0,10.0,3393.0,1.0,1.0,0.0,4915.0,0.0
80,5614.0,358.0,274.0,0.0,0.0,16.0,1.0,1339.0,1.0,0.0,0.0,8557.0,0.0
81,3900.0,1541.0,386.0,0.0,0.0,14.0,2.0,0.0,0.0,1.0,0.0,6841.0,1.0
82,3021.0,1811.0,152.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,1267.0,0.0
83,5419.0,2064.0,115.0,0.0,0.0,16.0,4.0,999.0,0.0,1.0,1.0,7961.0,0.0
84,6938.0,208.0,102.0,0.0,0.0,28.0,4.0,0.0,1.0,1.0,0.0,103.0,0.0
85,9580.0,1906.0,261.0,2.0,0.0,57.0,0.0,0.0,1.0,1.0,1.0,5742.0,0.0
86,7863.0,965.0,359.0,2.0,1.0,4.0,3.0,3350.0,0.0,1.0,0.0,6461.0,1.0
87,2374.0,2321.0,338.0,0.0,1.0,12.0,9.0,0.0,1.0,1.0,0.0,7621.0,0.0
88,2238.0,2417.0,255.0,0.0,0.0,28.0,4.0,0.0,2.0,1.0,0.0,4666.0,1.0
89,8078.0,2067.0,244.0,1.0,0.0,10.0,3.0,646.0,1.0,1.0,1.0,7838.0,0.0
90,7655.0,1147.0,256.0,2.0,0.0,26.0,5.0,0.0,2.0,1.0,1.0,8703.0,1.0
91,6637.0,2287.0,417.0,0.0,1.0,27.0,7.0,3094.0,1.0,1.0,0.0,7397.0,0.0
92,9738.0,586.0,133.0,0.0,0.0,18.0,10.0,0.0,1.0,1.0,0.0,5506.0,0.0
93,2965.0,403.0,378.0,0.0,1.0,11.0,8.0,0.0,1.0,1.0,1.0,8604.0,0.0
94,4432.0,403.0,339.0,2.0,1.0,24.0,0.0,0.0,1.0,0.0,1.0,4295.0,0.0
95,5347.0,887.0,124.0,2.0,1.0,17.0,10.0,6174.0,0.0,0.0,1.0,6081.0,0.0
96,6937.0,1046.0,382.0,2.0,1.0,23.0,9.0,1784.0,0.0,0.0,1.0,3200.0,0.0
97,5107.0,2903.0,423.0,1.0,1.0,11.0,8.0,1379.0,1.0,1.0,1.0,9851.0,0.0
98,1519.0,61.0,319.0,2.0,1.0,4.0,8.0,0.0,1.0,0.0,0.0,4972.0,0.0
99,2673.0,852.0,22.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0,335.0,0.0
100,9712.0,942.0,274.0,0.0,0.0,22.0,6.0,0.0,0.0,1.0,1.0,8087.0,0.0
101,7092.0,1250.0,232.0,0.0,0.0,26.0,6.0,0.0,1.0,0.0,0.0,8346.0,0.0
102,554.0,1250.0,347.0,0.0,1.0,13.0,9.0,688.0,0.0,1.0,0.0,2057.0,0.0
103,8444.0,311.0,137.0,2.0,1.0,18.0,7.0,0.0,1.0,1.0,0.0,2986.0,0.0
104,9569.0,763.0,279.0,2.0,0.0,47.0,1.0,0.0,0.0,1.0,1.0,8885.0,1.0
105,1904.0,1705.0,231.0,2.0,0.0,28.0,4.0,2123.0,1.0,1.0,1.0,1515.0,1.0
106,1322.0,2525.0,191.0,1.0,1.0,14.0,1.0,939.0,0.0,1.0,1.0,512.0,0.0
107,9887.0,2122.0,394.0,1.0,0.0,18.0,2.0,1567.0,0.0,0.0,1.0,1820.0,0.0
108,1434.0,2752.0,214.0,2.0,1.0,15.0,5.0,5414.0,0.0,0.0,0.0,3557.0,0.0
109,7142.0,2568.0,88.0,1.0,1.0,17.0,9.0,1131.0,0.0,1.0,0.0,4963.0,1.0
110,9513.0,817.0,294.0,1.0,1.0,12.0,3.0,1011.0,0.0,0.0,1.0,3124.0,0.0
111,4000.0,2322.0,147.0,1.0,1.0,21.0,0.0,2199.0,1.0,1.0,0.0,1333.0,0.0
112,6014.0,2597.0,171.0,0.0,1.0,24.0,2.0,1599.0,0.0,0.0,0.0,4342.0,0.0
113,994.0,490.0,284.0,2.0,1.0,18.0,9.0,2047.0,0.0,0.0,1.0,1128.0,0.0
114,1721.0,852.0,330.0,1.0,1.0,10.0,9.0,5616.0,1.0,0.0,1.0,5064.0,1.0
115,4390.0,1429.0,237.0,1.0,0.0,12.0,9.0,4273.0,1.0,1.0,1.0,3672.0,0.0
116,5591.0,2788.0,277.0,1.0,0.0,19.0,6.0,6015.0,0.0,1.0,0.0,5791.0,0.0
117,5290.0,764.0,115.0,0.0,0.0,23.0,1.0,0.0,1.0,1.0,0.0,1556.0,0.0
118,3819.0,481.0,133.0,1.0,0.0,13.0,8.0,2178.0,0.0,1.0,0.0,9984.0,1.0
119,1378.0,2857.0,308.0,1.0,1.0,16.0,4.0,6270.0,1.0,1.0,0.0,6056.0,0.0
120,4663.0,647.0,437.0,0.0,1.0,16.0,8.0,4043.0,1.0,0.0,0.0,1873.0,0.0
121,557.0,1388.0,283.0,2.0,1.0,21.0,6.0,3221.0,0.0,0.0,0.0,4994.0,0.0
122,4995.0,396.0,265.0,0.0,0.0,21.0,6.0,0.0,1.0,1.0,0.0,7082.0,0.0
123,7767.0,392.0,293.0,1.0,0.0,30.0,0.0,3765.0,0.0,1.0,1.0,9902.0,0.0
124,8571.0,2913.0,234.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,9201.0,0.0
125,2449.0,944.0,41.0,0.0,1.0,24.0,0.0,5539.0,0.0,1.0,0.0,5534.0,1.0
126,4209.0,1623.0,158.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,1.0,424.0,1.0
127,8697.0,2167.0,234.0,1.0,1.0,38.0,0.0,5336.0,0.0,1.0,0.0,2283.0,1.0
128,373.0,1388.0,437.0,0.0,0.0,23.0,7.0,0.0,1.0,1.0,0.0,8556.0,0.0
129,1018.0,875.0,379.0,0.0,1.0,6.0,9.0,1706.0,0.0,1.0,0.0,8351.0,0.0
130,6994.0,1146.0,367.0,0.0,0.0,16.0,3.0,0.0,1.0,1.0,1.0,6232.0,0.0
131,6103.0,1363.0,404.0,1.0,0.0,15.0,9.0,4162.0,0.0,1.0,1.0,5753.0,0.0
132,4478.0,576.0,296.0,0.0,1.0,20.0,9.0,3442.0,0.0,1.0,1.0,1743.0,0.0
133,3035.0,46.0,295.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,1.0,819.0,0.0
134,5868.0,521.0,398.0,1.0,1.0,21.0,7.0,3641.0,1.0,1.0,1.0,6239.0,0.0
135,716.0,114.0,198.0,1.0,0.0,32.0,5.0,5128.0,1.0,1.0,1.0,1714.0,0.0
136,9478.0,1549.0,70.0,1.0,0.0,16.0,5.0,211.0,0.0,0.0,1.0,8377.0,0.0
137,1747.0,1621.0,246.0,0.0,1.0,22.0,2.0,4359.0,0.0,0.0,1.0,4660.0,0.0
138,1131.0,464.0,193.0,2.0,0.0,30.0,2.0,6375.0,0.0,1.0,0.0,3723.0,1.0
139,2977.0,2716.0,188.0,2.0,0.0,17.0,1.0,4046.0,1.0,0.0,1.0,423.0,1.0
140,5325.0,1074.0,365.0,1.0,1.0,26.0,10.0,4633.0,0.0,1.0,0.0,9468.0,0.0
141,6385.0,2601.0,272.0,0.0,1.0,16.0,7.0,0.0,1.0,1.0,1.0,9035.0,0.0
142,2484.0,919.0,291.0,0.0,0.0,25.0,5.0,3727.0,0.0,1.0,1.0,9657.0,0.0
143,5902.0,1061.0,402.0,2.0,1.0,34.0,2.0,0.0,0.0,1.0,0.0,7955.0,1.0
144,1843.0,2582.0,300.0,0.0,0.0,13.0,5.0,36.0,0.0,1.0,0.0,6336.0,1.0
145,9404.0,1654.0,94.0,2.0,0.0,3.0,5.0,2626.0,0.0,1.0,1.0,2651.0,0.0
146,5600.0,224.0,244.0,2.0,0.0,11.0,0.0,4715.0,1.0,1.0,0.0,7083.0,0.0
147,7530.0,2032.0,259.0,0.0,1.0,19.0,5.0,2115.0,0.0,0.0,0.0,1192.0,0.0
148,5512.0,546.0,344.0,0.0,1.0,26.0,9.0,3249.0,0.0,1.0,0.0,3704.0,0.0
149,9159.0,1123.0,25.0,0.0,1.0,14.0,0.0,0.0,1.0,0.0,1.0,50.0,0.0
150,3363.0,1849.0,363.0,2.0,0.0,14.0,7.0,0.0,1.0,1.0,0.0,4473.0,0.0
151,7752.0,52.0,144.0,0.0,0.0,30.0,9.0,0.0,0.0,1.0,0.0,7537.0,1.0
152,9832.0,1793.0,325.0,2.0,1.0,24.0,8.0,0.0,1.0,1.0,0.0,9058.0,0.0
153,4924.0,1249.0,148.0,0.0,1.0,19.0,2.0,3877.0,0.0,1.0,0.0,4930.0,0.0
154,5741.0,1812.0,223.0,0.0,0.0,25.0,6.0,0.0,1.0,1.0,1.0,5473.0,0.0
155,4521.0,532.0,315.0,2.0,1.0,39.0,7.0,0.0,0.0,1.0,0.0,885.0,1.0
156,3546.0,1549.0,367.0,0.0,0.0,15.0,7.0,0.0,1.0,0.0,0.0,4134.0,0.0
157,2272.0,566.0,195.0,2.0,0.0,10.0,2.0,0.0,1.0,1.0,1.0,4599.0,0.0
158,954.0,1642.0,255.0,0.0,0.0,55.0,6.0,1387.0,0.0,0.0,1.0,5256.0,0.0
159,9538.0,499.0,240.0,1.0,0.0,15.0,4.0,3493.0,0.0,0.0,0.0,5647.0,0.0
160,5050.0,2822.0,326.0,2.0,0.0,4.0,6.0,1654.0,0.0,0.0,1.0,4229.0,0.0
161,2988.0,2786.0,293.0,0.0,1.0,12.0,2.0,0.0,1.0,1.0,0.0,4163.0,0.0
162,2581.0,2636.0,409.0,0.0,0.0,31.0,0.0,2195.0,0.0,0.0,0.0,2298.0,0.0
163,4598.0,1237.0,330.0,2.0,0.0,18.0,2.0,0.0,1.0,1.0,1.0,5372.0,0.0
164,3703.0,2581.0,292.0,2.0,1.0,11.0,0.0,4379.0,0.0,1.0,0.0,2730.0,1.0
165,756.0,2434.0,269.0,1.0,1.0,13.0,9.0,3663.0,1.0,1.0,1.0,7014.0,0.0
166,6367.0,2580.0,313.0,1.0,0.0,6.0,7.0,2615.0,0.0,1.0,0.0,8113.0,1.0
167,878.0,2297.0,224.0,2.0,0.0,23.0,9.0,2287.0,0.0,1.0,0.0,9811.0,0.0
168,340.0,2173.0,276.0,2.0,0.0,21.0,2.0,0.0,1.0,1.0,0.0,1987.0,1.0
169,1796.0,2846.0,291.0,1.0,1.0,6.0,9.0,132.0,1.0,0.0,0.0,2603.0,0.0
170,842.0,1134.0,93.0,0.0,0.0,11.0,4.0,4110.0,0.0,1.0,0.0,8195.0,0.0
171,1876.0,2549.0,237.0,1.0,1.0,9.0,5.0,1287.0,1.0,1.0,0.0,7804.0,0.0
172,3390.0,2896.0,89.0,1.0,1.0,26.0,10.0,4056.0,0.0,1.0,0.0,282.0,1.0
173,795.0,2607.0,187.0,0.0,1.0,12.0,0.0,6053.0,0.0,1.0,0.0,5617.0,0.0
174,2360.0,2319.0,121.0,0.0,1.0,22.0,5.0,0.0,1.0,1.0,1.0,7360.0,0.0
175,7568.0,942.0,93.0,2.0,0.0,17.0,7.0,4396.0,0.0,1.0,1.0,1337.0,0.0
176,3169.0,1183.0,119.0,0.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,6547.0,0.0
177,8973.0,2017.0,215.0,1.0,1.0,18.0,5.0,6317.0,1.0,0.0,0.0,8975.0,0.0
178,7869.0,398.0,206.0,2.0,0.0,22.0,8.0,1716.0,0.0,0.0,1.0,4750.0,0.0
179,2354.0,117.0,363.0,1.0,0.0,37.0,3.0,5849.0,0.0,1.0,0.0,401.0,1.0
180,6032.0,2326.0,459.0,2.0,0.0,27.0,0.0,3405.0,0.0,1.0,1.0,957.0,0.0
181,8946.0,1230.0,119.0,0.0,1.0,47.0,2.0,0.0,1.0,1.0,1.0,2346.0,0.0
182,2168.0,2009.0,387.0,1.0,0.0,27.0,1.0,5867.0,1.0,1.0,0.0,8717.0,0.0
183,9804.0,2568.0,245.0,0.0,1.0,24.0,2.0,0.0,1.0,1.0,1.0,2724.0,0.0
184,6138.0,576.0,413.0,0.0,0.0,32.0,4.0,0.0,0.0,1.0,1.0,419.0,1.0
185,3523.0,451.0,123.0,0.0,1.0,14.0,8.0,0.0,1.0,1.0,0.0,4809.0,0.0
186,8242.0,2569.0,339.0,0.0,0.0,21.0,1.0,1514.0,0.0,1.0,0.0,9740.0,0.0
187,5717.0,916.0,134.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,6599.0,0.0
188,6455.0,1686.0,225.0,2.0,1.0,12.0,5.0,0.0,1.0,0.0,1.0,9786.0,0.0
189,837.0,2656.0,296.0,1.0,0.0,16.0,7.0,2483.0,1.0,1.0,0.0,7460.0,0.0
190,6466.0,2054.0,324.0,0.0,0.0,23.0,8.0,112.0,1.0,0.0,0.0,4647.0,1.0
191,8206.0,1046.0,121.0,0.0,0.0,18.0,3.0,759.0,1.0,1.0,0.0,875.0,0.0
192,7630.0,1025.0,88.0,0.0,1.0,22.0,1.0,0.0,1.0,0.0,0.0,5757.0,0.0
193,5492.0,2204.0,210.0,0.0,1.0,14.0,8.0,1143.0,0.0,1.0,0.0,4351.0,0.0
194,4523.0,633.0,189.0,2.0,1.0,11.0,9.0,179.0,1.0,1.0,0.0,6437.0,0.0
195,1149.0,48.0,416.0,0.0,1.0,17.0,3.0,6143.0,0.0,1.0,1.0,30.0,0.0
196,2785.0,1841.0,225.0,2.0,0.0,14.0,6.0,0.0,1.0,1.0,1.0,2105.0,0.0
197,8495.0,2359.0,330.0,1.0,1.0,19.0,3.0,2166.0,0.0,1.0,1.0,7928.0,0.0
198,3590.0,1322.0,110.0,0.0,1.0,39.0,10.0,0.0,1.0,1.0,1.0,2335.0,0.0
199,9817.0,2739.0,130.0,0.0,1.0,17.0,6.0,1329.0,0.0,1.0,0.0,532.0,0.0
200,1521.0,492.0,459.0,2.0,1.0,12.0,2.0,4892.0,0.0,1.0,1.0,308.0,0.0
201,2239.0,1348.0,368.0,0.0,1.0,24.0,4.0,1991.0,0.0,0.0,1.0,6088.0,0.0
202,1388.0,1146.0,125.0,2.0,1.0,32.0,5.0,0.0,0.0,0.0,1.0,7339.0,1.0
203,6505.0,2045.0,320.0,0.0,0.0,20.0,2.0,4009.0,1.0,1.0,1.0,724.0,1.0
204,2465.0,1005.0,121.0,2.0,1.0,15.0,3.0,6177.0,0.0,1.0,0.0,4742.0,0.0
205,8283.0,1460.0,159.0,0.0,1.0,19.0,3.0,0.0,0.0,1.0,1.0,8997.0,0.0
206,7574.0,1736.0,217.0,2.0,0.0,23.0,3.0,976.0,0.0,0.0,0.0,9957.0,1.0
207,4535.0,593.0,227.0,0.0,1.0,16.0,5.0,4470.0,0.0,1.0,1.0,7629.0,0.0
208,4734.0,1082.0,252.0,0.0,1.0,27.0,5.0,0.0,0.0,1.0,0.0,7148.0,1.0
209,1832.0,715.0,280.0,0.0,1.0,27.0,2.0,2065.0,0.0,0.0,1.0,7904.0,0.0
210,7449.0,2646.0,298.0,1.0,1.0,15.0,2.0,5860.0,1.0,1.0,0.0,8454.0,0.0
211,2315.0,2574.0,212.0,0.0,1.0,13.0,8.0,0.0,1.0,1.0,1.0,8476.0,0.0
212,285.0,1009.0,229.0,0.0,0.0,23.0,9.0,0.0,1.0,0.0,0.0,4440.0,0.0
213,1157.0,1808.0,285.0,0.0,0.0,16.0,1.0,201.0,0.0,1.0,1.0,1985.0,0.0
214,8800.0,1441.0,181.0,1.0,1.0,8.0,4.0,3063.0,1.0,0.0,0.0,2982.0,0.0
215,6309.0,2775.0,277.0,1.0,1.0,29.0,7.0,2102.0,0.0,0.0,1.0,7892.0,1.0
216,4605.0,1675.0,304.0,0.0,1.0,28.0,7.0,74.0,0.0,1.0,0.0,6676.0,0.0
217,8832.0,1807.0,339.0,2.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,8816.0,0.0
218,3730.0,2436.0,416.0,0.0,1.0,25.0,1.0,2018.0,1.0,1.0,0.0,1712.0,1.0
219,8364.0,944.0,201.0,0.0,1.0,36.0,8.0,0.0,0.0,1.0,1.0,1428.0,1.0
220,6399.0,1138.0,335.0,0.0,0.0,13.0,9.0,2759.0,1.0,1.0,1.0,4911.0,0.0
221,8857.0,2867.0,123.0,2.0,1.0,12.0,7.0,0.0,0.0,0.0,1.0,6265.0,0.0
222,6503.0,1751.0,176.0,0.0,1.0,24.0,0.0,0.0,1.0,1.0,1.0,8387.0,0.0
223,6711.0,2523.0,459.0,0.0,1.0,15.0,10.0,0.0,0.0,1.0,0.0,258.0,1.0
224,106.0,2198.0,280.0,1.0,1.0,27.0,6.0,1549.0,0.0,1.0,1.0,5466.0,1.0
225,5328.0,140.0,279.0,0.0,1.0,19.0,0.0,6078.0,1.0,1.0,0.0,9910.0,0.0
226,8349.0,439.0,303.0,0.0,0.0,12.0,9.0,0.0,1.0,1.0,1.0,1322.0,0.0
227,4428.0,427.0,156.0,1.0,0.0,21.0,6.0,415.0,2.0,1.0,1.0,4283.0,1.0
228,2867.0,1993.0,360.0,1.0,1.0,32.0,2.0,1361.0,0.0,1.0,0.0,3824.0,1.0
229,1567.0,1606.0,203.0,1.0,0.0,11.0,3.0,4160.0,0.0,1.0,0.0,3022.0,0.0
230,9707.0,2280.0,282.0,0.0,1.0,54.0,1.0,0.0,1.0,0.0,1.0,5610.0,0.0
231,2431.0,933.0,219.0,0.0,1.0,22.0,0.0,0.0,1.0,1.0,0.0,3077.0,0.0
232,8860.0,2405.0,121.0,0.0,0.0,19.0,1.0,0.0,1.0,0.0,1.0,7807.0,0.0
233,6332.0,886.0,376.0,1.0,1.0,2.0,3.0,3180.0,1.0,0.0,1.0,7549.0,0.0
234,5561.0,2473.0,194.0,0.0,0.0,49.0,5.0,2698.0,1.0,0.0,1.0,4656.0,0.0
235,8276.0,760.0,372.0,1.0,1.0,24.0,6.0,1595.0,0.0,1.0,0.0,1638.0,1.0
236,5835.0,2090.0,321.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,1.0,7252.0,0.0
237,7964.0,2565.0,148.0,1.0,0.0,25.0,0.0,2882.0,2.0,1.0,0.0,2744.0,1.0
238,9136.0,1335.0,277.0,0.0,0.0,28.0,2.0,0.0,2.0,1.0,0.0,4454.0,1.0
239,9185.0,2522.0,312.0,0.0,1.0,10.0,2.0,629.0,1.0,0.0,1.0,8131.0,0.0
240,9848.0,1047.0,271.0,2.0,1.0,20.0,4.0,0.0,1.0,1.0,0.0,6830.0,0.0
241,3388.0,2657.0,334.0,1.0,0.0,21.0,5.0,2936.0,0.0,1.0,0.0,6222.0,0.0
242,9928.0,170.0,312.0,0.0,1.0,19.0,8.0,2026.0,1.0,0.0,1.0,3671.0,0.0
